# Time (s), Z (m), Mach Number, Angle of Attack (°)
248.364797,1335.402009,0.026387,65.418613
248.414818,1334.958670,0.025239,65.418294
248.464839,1334.533718,0.024242,65.417941
248.555375,1333.803975,0.022741,65.417225
248.645911,1333.115953,0.021548,65.416431
248.736447,1332.461211,0.020585,65.415582
248.826983,1331.833499,0.019802,65.414694
248.917519,1331.227883,0.019160,65.413786
249.008055,1330.640413,0.018630,65.412870
249.153348,1329.727951,0.017961,65.411415
249.298640,1328.844469,0.017459,65.410009
249.443933,1327.982816,0.017080,65.408675
249.589226,1327.137692,0.016792,65.407429
249.734518,1326.305146,0.016572,65.406278
249.960955,1325.025944,0.016327,65.404678
250.187391,1323.762465,0.016164,65.403306
250.413828,1322.509401,0.016055,65.402143
250.640264,1321.263274,0.015981,65.401166
250.866700,1320.021845,0.015932,65.400349
251.171131,1318.357636,0.015889,65.399464
251.475561,1316.696831,0.015864,65.398777
251.779991,1315.038027,0.015848,65.398245
252.084422,1313.380499,0.015838,65.397835
252.411357,1311.601307,0.015831,65.397496
252.738291,1309.822717,0.015827,65.397242
253.065226,1308.044497,0.015824,65.397051
253.393236,1306.260680,0.015821,65.396906
253.721246,1304.477061,0.015819,65.396798
254.049256,1302.693613,0.015817,65.396717
254.377372,1300.909741,0.015815,65.396656
254.705488,1299.126011,0.015814,65.396611
255.033604,1297.342416,0.015812,65.396577
257.037321,1286.453277,0.015802,65.396466
259.041037,1275.568904,0.015792,65.396454
261.044754,1264.689257,0.015782,65.396463
267.315137,1230.673136,0.015751,65.396470
273.585520,1196.702951,0.015720,65.396475
279.855903,1162.778467,0.015690,65.396477
296.980388,1070.361355,0.015607,65.396480
299.459769,1057.008497,0.015595,65.396479
299.756750,1055.409561,0.015593,65.395588
300.053730,1053.810729,0.015592,65.392575
300.123463,1053.435327,0.015592,65.391955
