# Time (s), Z (m), Mach Number, Angle of Attack (°)
4.500805,1713.208315,0.908274,0.004763
4.501586,1713.446293,0.908422,0.004620
4.503149,1713.922323,0.908708,0.004372
4.504712,1714.398491,0.908971,0.004178
4.506274,1714.874788,0.909214,0.004047
4.518196,1718.510524,0.910350,0.005094
4.523246,1720.051378,0.910453,0.006214
4.528295,1721.592198,0.910329,0.007457
4.530757,1722.343519,0.910178,0.008079
4.531025,1722.425293,0.910158,0.008147
4.531561,1722.588834,0.910119,0.008283
4.532097,1722.752368,0.910079,0.008419
4.532633,1722.915894,0.910039,0.008554
4.537994,1724.550732,0.909642,0.009895
4.543354,1726.184806,0.909245,0.011186
4.548715,1727.818116,0.908848,0.012403
4.579485,1737.178959,0.906575,0.017417
4.610256,1746.514736,0.904311,0.018342
4.641026,1755.825544,0.902055,0.015278
4.671796,1765.111480,0.899807,0.009340
4.678573,1767.153078,0.899313,0.007869
4.685349,1769.193475,0.898819,0.006450
4.692125,1771.232674,0.898326,0.005203
4.716760,1778.636045,0.896537,0.005217
4.741394,1786.023636,0.894752,0.009962
4.766029,1793.395497,0.892973,0.014269
4.802789,1804.366502,0.890328,0.017747
4.839548,1815.302763,0.887694,0.016790
4.876307,1826.204429,0.885071,0.012147
4.913067,1837.071649,0.882459,0.005913
4.923674,1840.201100,0.881708,0.004564
4.934281,1843.327697,0.880957,0.004005
4.944889,1846.451445,0.880207,0.004451
4.973094,1854.743947,0.878218,0.007579
5.001300,1863.016389,0.876235,0.010122
5.029506,1871.268838,0.874258,0.010968
5.048149,1876.712489,0.872955,0.010517
5.077279,1885.201080,0.870925,0.008512
5.100136,1891.846793,0.869336,0.006240
5.122993,1898.479531,0.867752,0.004288
5.145851,1905.099332,0.866172,0.004442
5.176321,1913.903916,0.864071,0.007497
5.206791,1922.685652,0.861978,0.010592
5.237261,1931.444633,0.859891,0.012372
5.267731,1940.180941,0.857812,0.012438
5.305552,1950.993406,0.855240,0.010255
5.343373,1961.771213,0.852680,0.006528
5.381194,1972.514503,0.850130,0.003922
5.419014,1983.223418,0.847590,0.005222
5.456835,1993.898103,0.845061,0.006737
5.494656,2004.538701,0.842542,0.006532
5.532477,2015.145358,0.840033,0.004959
5.570298,2025.718223,0.837534,0.004146
5.613416,2037.730885,0.834698,0.006354
5.656534,2049.700034,0.831874,0.008843
5.699652,2061.625885,0.829063,0.009639
5.706382,2063.483549,0.828624,0.009443
5.713113,2065.340164,0.828168,0.008684
5.719843,2067.195731,0.827714,0.008726
5.733304,2070.903722,0.826805,0.010949
5.746765,2074.607529,0.825898,0.014625
5.760226,2078.307156,0.824993,0.018603
5.790106,2086.504373,0.822987,0.026365
5.814963,2093.308338,0.821323,0.030458
5.839821,2100.098149,0.819664,0.031785
5.864679,2106.873845,0.818010,0.030275
5.889537,2113.635464,0.816360,0.026221
5.920402,2122.011461,0.814317,0.018521
5.951267,2130.365897,0.812281,0.009497
5.982132,2138.698850,0.810252,0.004346
6.012996,2147.010399,0.808230,0.009814
6.043861,2155.300623,0.806215,0.014622
6.074726,2163.569597,0.804206,0.016410
6.105591,2171.817392,0.802203,0.015092
6.136455,2180.044081,0.800207,0.011435
6.179400,2191.455615,0.797441,0.007165
6.213718,2200.545632,0.795240,0.010807
6.248036,2209.609838,0.793046,0.016471
6.282354,2218.648321,0.790860,0.020493
6.316672,2227.661171,0.788682,0.021729
6.350991,2236.648478,0.786512,0.020028
6.393330,2247.701426,0.783845,0.014698
6.435670,2258.715811,0.781190,0.007775
6.478009,2269.691813,0.778546,0.004186
6.513252,2278.798852,0.776353,0.006757
6.548494,2287.879518,0.774169,0.008783
6.583737,2296.933910,0.771992,0.008855
6.618980,2305.962122,0.769823,0.007431
6.654222,2314.964247,0.767662,0.006334
6.696644,2325.765641,0.765071,0.008507
6.739065,2336.529523,0.762490,0.012480
6.781487,2347.256047,0.759920,0.015331
6.823908,2357.945366,0.757361,0.015893
6.866330,2368.597636,0.754812,0.014074
6.914287,2380.595504,0.751944,0.010039
6.962244,2392.546450,0.749088,0.005831
7.010201,2404.450702,0.746246,0.004503
7.058158,2416.308482,0.743417,0.005558
7.106115,2428.120011,0.740601,0.005921
7.154072,2439.885502,0.737797,0.006031
7.202029,2451.605163,0.735006,0.007670
7.249986,2463.279201,0.732228,0.010398
7.297943,2474.907816,0.729462,0.012555
7.345901,2486.491211,0.726708,0.013137
7.393858,2498.029586,0.723966,0.011969
7.441815,2509.523144,0.721237,0.009582
7.489772,2520.972087,0.718519,0.007031
7.537729,2532.376615,0.715813,0.005538
7.590876,2544.963639,0.712828,0.005416
7.633417,2554.999921,0.710448,0.005714
7.675958,2565.001715,0.708078,0.006121
7.718499,2574.969153,0.705717,0.006934
7.761040,2584.902364,0.703364,0.008274
7.808847,2596.024492,0.700731,0.009998
7.856654,2607.103739,0.698129,0.008267
7.863315,2608.643819,0.697775,0.007425
7.869975,2610.183071,0.697421,0.007197
7.876635,2611.721496,0.697067,0.007628
7.889955,2614.795864,0.696361,0.009913
7.903275,2617.866929,0.695655,0.013051
7.916595,2620.934694,0.694949,0.016344
7.955509,2629.877907,0.692893,0.024679
7.987627,2637.238383,0.691201,0.028823
8.019746,2644.579817,0.689513,0.029887
8.051864,2651.902262,0.687830,0.027875
8.083983,2659.205769,0.686151,0.023207
8.124632,2668.422039,0.684032,0.014744
8.165281,2677.608149,0.681920,0.006772
8.198778,2685.155303,0.680185,0.008178
8.232275,2692.682091,0.678455,0.013774
8.265772,2700.188567,0.676729,0.018201
8.299269,2707.674785,0.675007,0.020369
8.332765,2715.140800,0.673291,0.020079
8.396459,2729.281862,0.670038,0.013870
8.449498,2741.001923,0.667342,0.007731
8.502536,2752.671971,0.664658,0.011226
8.544082,2761.778409,0.662562,0.016435
8.585627,2770.854408,0.660473,0.019772
8.627172,2779.900071,0.658391,0.020389
